timestamp;[Set point value temp system 1 heat][°C][50233];
2025-11-10T08:08:01+00:00;-32768.0;
2025-11-13T09:20:59+00:00;-32768.0;
Fri Nov 21 2025 08:49:48 GMT+0100 (Central European Standard Time);-32768.0;
