timestamp;[Current (BE2)][A][40081];
2025-11-02T10:33:00+00:00;0.0;
2025-11-10T08:08:00+00:00;0.0;
Wed Nov 12 2025 09:22:12 GMT+0100 (Central European Standard Time);0.0;
