timestamp;[Return line (BT3)][°C][40012];
2025-11-23T23:10:56+00:00;27.8;
2025-11-23T23:17:54+00:00;28.3;
2025-11-23T23:23:58+00:00;28.8;
2025-11-23T23:25:04+00:00;28.3;
2025-11-23T23:32:33+00:00;28.8;
2025-11-23T23:37:56+00:00;29.3;
2025-11-23T23:44:38+00:00;29.8;
2025-11-23T23:50:27+00:00;30.3;
2025-11-23T23:55:40+00:00;30.8;
2025-11-23T23:59:15+00:00;31.3;
2025-11-24T00:11:56+00:00;31.8;
2025-11-24T00:21:38+00:00;32.3;
2025-11-24T00:39:14+00:00;32.8;
2025-11-24T00:41:29+00:00;32.3;
2025-11-24T00:42:46+00:00;31.8;
2025-11-24T00:44:16+00:00;31.3;
2025-11-24T00:46:01+00:00;30.8;
2025-11-24T00:47:45+00:00;30.3;
2025-11-24T00:52:34+00:00;30.8;
2025-11-24T00:59:01+00:00;31.3;
2025-11-24T01:06:40+00:00;31.8;
2025-11-24T01:18:41+00:00;32.3;
2025-11-24T01:26:36+00:00;31.8;
2025-11-24T02:07:14+00:00;30.8;
2025-11-24T02:07:51+00:00;30.3;
2025-11-24T02:46:14+00:00;29.3;
2025-11-24T02:57:45+00:00;29.8;
2025-11-24T03:00:48+00:00;30.3;
2025-11-24T03:03:11+00:00;29.8;
2025-11-24T03:06:29+00:00;30.3;
2025-11-24T03:15:26+00:00;30.8;
2025-11-24T03:21:48+00:00;29.3;
2025-11-24T03:23:18+00:00;28.8;
2025-11-24T03:30:57+00:00;29.3;
2025-11-24T03:46:07+00:00;29.8;
2025-11-24T03:48:28+00:00;29.3;
2025-11-24T03:50:21+00:00;28.8;
2025-11-24T03:53:06+00:00;28.3;
2025-11-24T03:55:58+00:00;27.8;
2025-11-24T04:02:47+00:00;27.8;
2025-11-24T04:02:48+00:00;47.7;
2025-11-24T04:03:31+00:00;48.2;
2025-11-24T04:05:30+00:00;49.2;
2025-11-24T04:06:31+00:00;49.7;
2025-11-24T04:07:37+00:00;50.2;
2025-11-24T04:08:41+00:00;50.7;
2025-11-24T04:10:05+00:00;51.2;
2025-11-24T04:11:20+00:00;51.7;
2025-11-24T04:12:58+00:00;52.2;
2025-11-24T04:14:46+00:00;52.7;
2025-11-24T04:16:27+00:00;53.2;
2025-11-24T04:20:05+00:00;27.1;
2025-11-24T04:23:19+00:00;27.6;
2025-11-24T04:27:05+00:00;28.1;
2025-11-24T04:30:21+00:00;28.6;
2025-11-24T04:32:14+00:00;29.1;
2025-11-24T04:36:44+00:00;29.6;
2025-11-24T04:40:02+00:00;30.1;
2025-11-24T04:43:40+00:00;30.6;
2025-11-24T04:47:32+00:00;31.1;
2025-11-24T04:52:24+00:00;30.1;
2025-11-24T04:56:48+00:00;30.6;
