timestamp;[Heating medium pump speed (GP1)][%][43437];
2025-11-24T16:57:27+00:00;55;
2025-11-24T17:04:04+00:00;7;
2025-11-24T17:04:46+00:00;5;
2025-11-24T17:05:52+00:00;3;
2025-11-24T17:14:39+00:00;5;
2025-11-24T17:29:39+00:00;3;
2025-11-24T17:44:45+00:00;5;
2025-11-24T18:03:21+00:00;5;
2025-11-24T18:03:22+00:00;30;
2025-11-24T18:10:45+00:00;30;
2025-11-24T18:10:46+00:00;55;
2025-11-24T18:14:00+00:00;32;
2025-11-24T18:16:24+00:00;11;
2025-11-24T18:18:54+00:00;9;
2025-11-24T18:21:42+00:00;11;
2025-11-24T18:23:48+00:00;13;
2025-11-24T18:26:42+00:00;15;
2025-11-24T18:28:54+00:00;17;
2025-11-24T18:30:48+00:00;19;
2025-11-24T18:32:24+00:00;21;
2025-11-24T18:33:54+00:00;23;
2025-11-24T18:35:12+00:00;25;
2025-11-24T18:37:06+00:00;29;
2025-11-24T18:38:54+00:00;33;
2025-11-24T18:43:59+00:00;33;
2025-11-24T18:44:00+00:00;51;
2025-11-24T18:44:48+00:00;55;
2025-11-24T19:01:21+00:00;26;
2025-11-24T19:08:15+00:00;28;
2025-11-24T19:10:51+00:00;30;
2025-11-24T19:12:33+00:00;32;
2025-11-24T19:15:03+00:00;34;
2025-11-24T19:17:33+00:00;36;
2025-11-24T19:19:39+00:00;38;
2025-11-24T19:22:27+00:00;40;
2025-11-24T19:24:57+00:00;42;
2025-11-24T19:28:15+00:00;44;
2025-11-24T19:30:33+00:00;46;
2025-11-24T19:32:45+00:00;48;
2025-11-24T19:34:45+00:00;50;
2025-11-24T19:36:15+00:00;52;
2025-11-24T19:39:03+00:00;54;
2025-11-24T20:41:36+00:00;30;
2025-11-24T20:49:25+00:00;30;
2025-11-24T20:49:26+00:00;55;
2025-11-24T21:58:41+00:00;30;
2025-11-24T22:05:09+00:00;30;
2025-11-24T22:05:10+00:00;55;
2025-11-24T22:35:38+00:00;50;
2025-11-24T23:15:02+00:00;40;
2025-11-24T23:20:54+00:00;40;
2025-11-24T23:20:55+00:00;70;
2025-11-25T00:33:08+00:00;50;
2025-11-25T00:39:40+00:00;50;
2025-11-25T00:39:41+00:00;70;
2025-11-25T04:03:08+00:00;66;
2025-11-25T04:04:08+00:00;68;
2025-11-25T04:04:32+00:00;70;
2025-11-25T06:06:11+00:00;50;
2025-11-25T06:12:28+00:00;50;
2025-11-25T06:12:29+00:00;70;
Tue Nov 25 2025 07:19:42 GMT+0100 (Central European Standard Time);70;
