timestamp;[Value air veloc­ity sensor (BS1)][][42782];
2025-10-31T23:00:15+00:00;208.6;
2025-10-31T23:02:36+00:00;210.6;
2025-10-31T23:17:32+00:00;208.6;
2025-10-31T23:35:27+00:00;210.6;
2025-11-01T00:00:07+00:00;208.6;
2025-11-01T00:09:41+00:00;210.7;
2025-11-01T00:21:06+00:00;208.7;
2025-11-01T00:48:02+00:00;211.7;
2025-11-01T00:50:17+00:00;209.7;
2025-11-01T01:20:56+00:00;209.7;
2025-11-01T01:24:38+00:00;209.7;
2025-11-01T01:24:39+00:00;215.8;
2025-11-01T01:44:03+00:00;213.7;
2025-11-01T02:01:14+00:00;204.6;
2025-11-01T02:12:49+00:00;207.6;
2025-11-01T02:30:26+00:00;206.6;
2025-11-01T02:52:34+00:00;206.6;
2025-11-01T02:52:35+00:00;213.6;
2025-11-01T03:03:07+00:00;214.5;
2025-11-01T03:14:25+00:00;211.5;
2025-11-01T03:41:54+00:00;211.5;
2025-11-01T03:51:54+00:00;214.6;
2025-11-01T04:12:55+00:00;210.5;
2025-11-01T04:19:01+00:00;214.5;
2025-11-01T04:45:14+00:00;211.5;
2025-11-01T05:00:55+00:00;214.5;
2025-11-01T05:18:35+00:00;210.7;
2025-11-01T05:24:57+00:00;211.7;
2025-11-01T05:50:04+00:00;212.7;
2025-11-01T05:57:03+00:00;209.7;
2025-11-01T06:13:04+00:00;209.7;
2025-11-01T06:13:05+00:00;214.8;
2025-11-01T06:35:52+00:00;215.7;
2025-11-01T06:45:34+00:00;213.7;
2025-11-01T07:14:10+00:00;212.8;
2025-11-01T07:26:31+00:00;214.8;
2025-11-01T07:36:04+00:00;215.8;
2025-11-01T07:56:46+00:00;208.8;
2025-11-01T08:12:03+00:00;213.8;
2025-11-01T08:25:13+00:00;209.8;
2025-11-01T08:51:42+00:00;213.8;
2025-11-01T09:08:16+00:00;209.7;
2025-11-01T09:26:29+00:00;209.7;
2025-11-01T09:26:30+00:00;218.3;
2025-11-01T09:46:58+00:00;211.3;
2025-11-01T09:57:12+00:00;214.3;
2025-11-01T10:12:28+00:00;212.3;
2025-11-01T10:47:31+00:00;211.3;
2025-11-01T10:50:32+00:00;214.3;
2025-11-01T11:12:13+00:00;198.8;
2025-11-01T11:27:24+00:00;198.8;
2025-11-01T11:27:25+00:00;211.6;
2025-11-01T11:39:50+00:00;207.6;
2025-11-01T11:57:51+00:00;207.6;
2025-11-01T11:57:52+00:00;212.7;
2025-11-01T12:11:29+00:00;209.7;
2025-11-01T12:31:54+00:00;209.7;
2025-11-01T12:42:51+00:00;213.7;
2025-11-01T12:46:50+00:00;210.7;
2025-11-01T13:13:54+00:00;209.7;
2025-11-01T13:18:13+00:00;212.7;
2025-11-01T13:28:32+00:00;210.7;
2025-11-01T13:57:56+00:00;210.8;
2025-11-01T14:03:08+00:00;210.8;
2025-11-01T14:03:09+00:00;216.8;
2025-11-01T14:23:24+00:00;209.0;
2025-11-01T14:39:38+00:00;212.0;
2025-11-01T14:58:49+00:00;211.0;
2025-11-01T15:15:18+00:00;210.0;
2025-11-01T15:37:56+00:00;212.2;
2025-11-01T15:59:09+00:00;208.2;
2025-11-01T16:10:24+00:00;212.2;
2025-11-01T16:20:38+00:00;209.2;
2025-11-01T16:48:59+00:00;208.1;
2025-11-01T17:03:20+00:00;212.2;
2025-11-01T17:18:59+00:00;209.2;
2025-11-01T17:39:33+00:00;210.1;
2025-11-01T17:42:10+00:00;210.1;
2025-11-01T17:42:11+00:00;217.2;
2025-11-01T18:05:28+00:00;210.2;
2025-11-01T18:40:50+00:00;208.3;
2025-11-01T18:49:56+00:00;211.3;
2025-11-01T19:06:55+00:00;212.3;
2025-11-01T19:17:52+00:00;208.3;
2025-11-01T19:54:27+00:00;207.2;
2025-11-01T20:02:51+00:00;210.2;
2025-11-01T20:20:50+00:00;208.2;
2025-11-01T20:29:38+00:00;212.2;
2025-11-01T20:48:52+00:00;207.2;
2025-11-01T21:06:39+00:00;206.2;
2025-11-01T21:12:33+00:00;208.2;
2025-11-01T21:31:48+00:00;207.2;
2025-11-01T21:57:14+00:00;207.2;
2025-11-01T21:57:15+00:00;212.5;
2025-11-01T22:13:46+00:00;209.3;
2025-11-01T22:37:23+00:00;207.2;
2025-11-01T22:44:50+00:00;211.2;
2025-11-01T23:02:05+00:00;205.5;
2025-11-01T23:22:13+00:00;205.5;
2025-11-01T23:28:41+00:00;209.5;
2025-11-01T23:52:43+00:00;207.6;
2025-11-02T00:10:07+00:00;211.5;
2025-11-02T00:31:55+00:00;208.6;
2025-11-02T00:48:27+00:00;212.8;
2025-11-02T00:58:42+00:00;209.8;
2025-11-02T01:25:34+00:00;211.8;
2025-11-02T01:49:18+00:00;211.8;
2025-11-02T02:06:07+00:00;212.8;
2025-11-02T02:25:11+00:00;206.7;
2025-11-02T02:28:35+00:00;209.7;
2025-11-02T02:40:36+00:00;207.7;
2025-11-02T02:52:32+00:00;209.7;
2025-11-02T03:13:28+00:00;207.7;
2025-11-02T03:41:19+00:00;212.7;
2025-11-02T03:44:39+00:00;210.7;
2025-11-02T04:14:46+00:00;208.8;
2025-11-02T04:24:22+00:00;211.8;
2025-11-02T04:41:13+00:00;208.8;
2025-11-02T04:55:05+00:00;211.0;
2025-11-02T05:06:04+00:00;209.0;
2025-11-02T05:25:24+00:00;211.0;
2025-11-02T05:45:03+00:00;209.0;
2025-11-02T06:02:45+00:00;211.0;
2025-11-02T06:15:41+00:00;207.1;
2025-11-02T06:32:19+00:00;210.2;
2025-11-02T06:51:03+00:00;207.2;
2025-11-02T07:06:40+00:00;206.2;
2025-11-02T07:10:30+00:00;209.2;
2025-11-02T07:35:51+00:00;210.2;
2025-11-02T07:53:26+00:00;207.2;
2025-11-02T08:00:17+00:00;209.2;
2025-11-02T08:13:19+00:00;207.2;
2025-11-02T08:38:40+00:00;206.2;
2025-11-02T08:46:34+00:00;208.3;
2025-11-02T09:16:19+00:00;208.3;
2025-11-02T09:16:20+00:00;214.7;
2025-11-02T09:34:52+00:00;208.7;
2025-11-02T09:52:01+00:00;208.7;
2025-11-02T09:52:02+00:00;214.7;
2025-11-02T09:52:38+00:00;209.5;
2025-11-02T10:17:15+00:00;210.0;
2025-11-02T10:33:25+00:00;170.0;
2025-11-02T10:44:41+00:00;170.0;
2025-11-02T10:44:42+00:00;208.6;
2025-11-02T11:13:33+00:00;204.5;
2025-11-02T11:22:22+00:00;202.5;
2025-11-02T11:45:37+00:00;202.5;
2025-11-02T11:45:38+00:00;210.5;
2025-11-02T12:03:05+00:00;210.5;
2025-11-02T12:08:33+00:00;206.5;
2025-11-02T12:29:58+00:00;204.6;
2025-11-02T12:41:34+00:00;207.6;
2025-11-02T13:08:09+00:00;205.5;
2025-11-02T13:18:25+00:00;207.5;
2025-11-02T13:35:15+00:00;205.7;
2025-11-02T14:05:13+00:00;210.1;
2025-11-02T14:10:37+00:00;205.1;
2025-11-02T14:42:44+00:00;209.1;
2025-11-02T15:01:12+00:00;203.1;
2025-11-02T15:05:52+00:00;206.1;
2025-11-02T15:34:42+00:00;207.0;
2025-11-02T15:41:13+00:00;199.7;
2025-11-02T16:05:42+00:00;199.7;
2025-11-02T16:05:43+00:00;207.9;
2025-11-02T16:30:24+00:00;199.0;
2025-11-02T16:48:27+00:00;199.0;
2025-11-02T16:48:28+00:00;206.4;
2025-11-02T16:56:27+00:00;202.4;
2025-11-02T17:17:21+00:00;202.4;
2025-11-02T17:17:22+00:00;208.4;
