timestamp;[Suction gas (BT17)][°C][40022];
2025-11-24T10:00:41+00:00;6.7;
2025-11-24T10:01:27+00:00;5.7;
2025-11-24T10:05:53+00:00;5.2;
2025-11-24T10:08:13+00:00;4.7;
2025-11-24T10:10:47+00:00;4.2;
2025-11-24T10:13:43+00:00;3.7;
2025-11-24T10:17:25+00:00;3.2;
2025-11-24T10:21:31+00:00;2.7;
2025-11-24T10:24:41+00:00;2.2;
2025-11-24T10:36:57+00:00;1.7;
2025-11-24T10:51:19+00:00;1.7;
2025-11-24T10:51:20+00:00;10.7;
2025-11-24T10:56:30+00:00;10.7;
2025-11-24T10:56:31+00:00;16.3;
2025-11-24T11:01:30+00:00;2.9;
2025-11-24T11:02:39+00:00;2.4;
2025-11-24T11:17:06+00:00;2.9;
2025-11-24T11:24:38+00:00;3.4;
2025-11-24T11:33:40+00:00;3.9;
2025-11-24T11:36:41+00:00;4.4;
2025-11-24T11:41:12+00:00;4.9;
2025-11-24T11:45:52+00:00;5.4;
2025-11-24T11:48:52+00:00;5.9;
2025-11-24T11:52:31+00:00;6.4;
2025-11-24T11:54:28+00:00;6.9;
2025-11-24T11:58:44+00:00;7.4;
2025-11-24T12:02:39+00:00;7.9;
2025-11-24T12:06:55+00:00;8.4;
2025-11-24T12:10:43+00:00;8.9;
2025-11-24T12:14:08+00:00;9.4;
2025-11-24T12:19:09+00:00;9.9;
2025-11-24T12:26:26+00:00;10.4;
2025-11-24T12:59:46+00:00;9.9;
2025-11-24T13:06:56+00:00;9.4;
2025-11-24T13:18:43+00:00;8.9;
2025-11-24T13:25:00+00:00;8.4;
2025-11-24T13:35:58+00:00;7.9;
2025-11-24T13:46:12+00:00;7.4;
2025-11-24T13:55:36+00:00;6.9;
2025-11-24T14:02:49+00:00;3.1;
2025-11-24T14:03:53+00:00;3.6;
2025-11-24T14:17:49+00:00;3.6;
2025-11-24T14:17:50+00:00;19.1;
2025-11-24T14:18:59+00:00;21.1;
2025-11-24T14:23:01+00:00;13.3;
2025-11-24T14:26:31+00:00;5.9;
2025-11-24T14:27:52+00:00;5.4;
2025-11-24T14:33:04+00:00;5.9;
2025-11-24T14:33:51+00:00;6.4;
2025-11-24T14:38:00+00:00;9.9;
2025-11-24T14:39:45+00:00;7.9;
2025-11-24T14:40:46+00:00;8.4;
2025-11-24T14:42:05+00:00;7.9;
2025-11-24T14:45:17+00:00;7.4;
2025-11-24T14:47:17+00:00;6.9;
2025-11-24T14:50:51+00:00;6.4;
2025-11-24T14:52:58+00:00;5.9;
2025-11-24T14:57:58+00:00;5.4;
2025-11-24T15:03:12+00:00;4.9;
2025-11-24T15:20:11+00:00;4.4;
2025-11-24T15:40:39+00:00;4.9;
2025-11-24T15:42:37+00:00;4.4;
2025-11-24T15:45:42+00:00;4.9;
2025-11-24T15:59:51+00:00;5.4;
2025-11-24T16:08:30+00:00;5.9;
2025-11-24T16:18:26+00:00;5.9;
2025-11-24T16:18:27+00:00;15.4;
2025-11-24T16:23:32+00:00;8.7;
2025-11-24T16:27:14+00:00;8.7;
2025-11-24T16:30:34+00:00;9.2;
2025-11-24T16:35:15+00:00;9.7;
2025-11-24T16:37:15+00:00;10.2;
2025-11-24T16:40:08+00:00;10.7;
2025-11-24T16:42:45+00:00;11.2;
2025-11-24T16:44:50+00:00;11.7;
2025-11-24T16:47:59+00:00;12.7;
2025-11-24T16:53:35+00:00;17.2;
2025-11-24T16:54:55+00:00;18.2;
2025-11-24T16:55:58+00:00;18.7;
2025-11-24T16:56:58+00:00;19.2;
2025-11-24T16:59:13+00:00;0.5;
2025-11-24T17:02:01+00:00;4.8;
2025-11-24T17:04:17+00:00;5.3;
2025-11-24T17:10:44+00:00;4.8;
2025-11-24T17:13:22+00:00;4.3;
2025-11-24T17:16:29+00:00;3.8;
