timestamp;[Outdoor temperature][°C][40004];
2025-09-14T23:09:13+00:00;15.6;
2025-09-15T00:47:09+00:00;15.1;
2025-09-15T01:07:38+00:00;14.6;
2025-09-15T02:07:20+00:00;14.1;
2025-09-15T03:37:09+00:00;13.6;
2025-09-15T06:09:27+00:00;14.1;
2025-09-15T07:01:15+00:00;14.6;
2025-09-15T07:58:58+00:00;15.1;
2025-09-15T08:57:15+00:00;15.6;
2025-09-15T09:54:25+00:00;16.1;
2025-09-15T10:23:47+00:00;16.6;
2025-09-15T10:28:15+00:00;17.1;
2025-09-15T10:34:12+00:00;17.6;
2025-09-15T11:18:17+00:00;18.1;
2025-09-15T11:54:41+00:00;18.6;
2025-09-15T12:00:52+00:00;19.1;
2025-09-15T12:07:02+00:00;19.6;
2025-09-15T12:26:11+00:00;20.1;
2025-09-15T12:28:19+00:00;20.6;
2025-09-15T12:29:48+00:00;21.1;
2025-09-15T12:30:56+00:00;21.6;
2025-09-15T12:32:20+00:00;22.1;
2025-09-15T12:33:35+00:00;22.6;
2025-09-15T12:44:11+00:00;23.1;
2025-09-15T12:45:39+00:00;23.6;
2025-09-15T12:47:04+00:00;24.1;
2025-09-15T12:48:12+00:00;24.6;
2025-09-15T12:49:52+00:00;25.1;
2025-09-15T12:54:46+00:00;25.6;
2025-09-15T12:57:21+00:00;26.1;
2025-09-15T13:02:35+00:00;26.6;
2025-09-15T13:04:21+00:00;27.1;
2025-09-15T13:05:56+00:00;27.6;
2025-09-15T13:07:55+00:00;28.1;
2025-09-15T13:12:46+00:00;28.6;
2025-09-15T13:15:44+00:00;29.1;
2025-09-15T13:19:05+00:00;29.6;
2025-09-15T13:23:01+00:00;30.1;
2025-09-15T13:29:23+00:00;29.6;
2025-09-15T13:30:32+00:00;29.1;
2025-09-15T13:32:05+00:00;28.6;
2025-09-15T13:36:01+00:00;28.1;
2025-09-15T13:42:31+00:00;27.6;
2025-09-15T13:44:05+00:00;27.1;
2025-09-15T13:47:13+00:00;26.6;
2025-09-15T13:49:55+00:00;27.1;
2025-09-15T13:51:26+00:00;27.6;
2025-09-15T13:52:52+00:00;28.1;
2025-09-15T13:54:49+00:00;28.6;
2025-09-15T14:10:13+00:00;29.1;
2025-09-15T14:16:43+00:00;29.6;
2025-09-15T14:29:42+00:00;30.1;
2025-09-15T14:31:11+00:00;30.6;
2025-09-15T14:46:24+00:00;30.1;
2025-09-15T14:50:08+00:00;29.6;
2025-09-15T14:53:45+00:00;29.1;
2025-09-15T14:55:25+00:00;28.6;
2025-09-15T14:56:56+00:00;28.1;
2025-09-15T14:59:00+00:00;27.6;
2025-09-15T15:01:27+00:00;27.1;
2025-09-15T15:03:31+00:00;26.6;
2025-09-15T15:05:14+00:00;26.1;
2025-09-15T15:07:29+00:00;25.6;
2025-09-15T15:15:44+00:00;25.1;
2025-09-15T15:18:00+00:00;24.6;
2025-09-15T15:20:23+00:00;24.1;
2025-09-15T15:24:32+00:00;23.6;
2025-09-15T15:28:31+00:00;23.1;
2025-09-15T15:33:02+00:00;22.6;
2025-09-15T15:37:38+00:00;22.1;
2025-09-15T15:44:50+00:00;21.6;
2025-09-15T15:52:42+00:00;21.1;
2025-09-15T15:57:59+00:00;20.6;
2025-09-15T16:03:55+00:00;20.1;
2025-09-15T16:09:25+00:00;19.6;
2025-09-15T16:16:32+00:00;19.1;
2025-09-15T16:25:27+00:00;18.6;
2025-09-15T16:40:53+00:00;18.1;
2025-09-15T16:50:04+00:00;17.6;
2025-09-15T17:01:14+00:00;17.1;
2025-09-15T17:07:10+00:00;16.6;
2025-09-15T17:19:38+00:00;16.1;
2025-09-15T17:47:38+00:00;15.6;
2025-09-15T18:03:54+00:00;15.1;
2025-09-15T18:19:24+00:00;14.6;
2025-09-15T22:07:42+00:00;14.1;
2025-09-15T22:53:14+00:00;13.6;
2025-09-16T00:06:57+00:00;13.1;
2025-09-16T01:33:21+00:00;12.6;
2025-09-16T03:30:26+00:00;13.1;
2025-09-16T04:32:40+00:00;13.6;
2025-09-16T05:48:10+00:00;14.1;
2025-09-16T06:24:12+00:00;14.6;
2025-09-16T06:48:25+00:00;15.1;
2025-09-16T07:20:18+00:00;15.6;
2025-09-16T08:00:52+00:00;16.1;
2025-09-16T08:31:00+00:00;16.6;
2025-09-16T08:45:13+00:00;17.1;
2025-09-16T09:13:58+00:00;16.6;
2025-09-16T09:38:16+00:00;17.1;
2025-09-16T09:49:21+00:00;17.6;
2025-09-16T09:53:58+00:00;18.1;
2025-09-16T10:17:12+00:00;18.6;
2025-09-16T10:22:16+00:00;19.1;
2025-09-16T10:33:05+00:00;19.6;
2025-09-16T10:35:46+00:00;20.1;
2025-09-16T10:39:33+00:00;20.6;
2025-09-16T10:55:06+00:00;21.1;
2025-09-16T10:57:24+00:00;21.6;
2025-09-16T11:00:25+00:00;22.1;
2025-09-16T11:04:00+00:00;22.6;
2025-09-16T11:07:16+00:00;23.1;
2025-09-16T11:29:56+00:00;22.6;
2025-09-16T11:32:49+00:00;22.1;
2025-09-16T11:35:30+00:00;21.6;
2025-09-16T11:38:42+00:00;21.1;
2025-09-16T11:42:42+00:00;20.6;
2025-09-16T11:53:29+00:00;21.1;
2025-09-16T11:55:20+00:00;21.6;
2025-09-16T11:56:55+00:00;22.1;
2025-09-16T11:59:12+00:00;22.6;
2025-09-16T12:01:19+00:00;23.1;
2025-09-16T12:03:25+00:00;23.6;
2025-09-16T12:05:21+00:00;24.1;
2025-09-16T12:11:45+00:00;23.6;
2025-09-16T12:15:06+00:00;23.1;
2025-09-16T12:21:12+00:00;22.6;
2025-09-16T12:25:08+00:00;22.1;
2025-09-16T12:29:47+00:00;22.6;
2025-09-16T12:40:36+00:00;22.1;
2025-09-16T12:44:53+00:00;22.6;
2025-09-16T12:47:14+00:00;23.1;
2025-09-16T12:57:18+00:00;22.6;
2025-09-16T13:03:35+00:00;22.1;
2025-09-16T13:08:09+00:00;21.6;
2025-09-16T13:18:34+00:00;21.1;
2025-09-16T13:25:21+00:00;20.6;
2025-09-16T13:31:39+00:00;20.1;
2025-09-16T13:39:28+00:00;19.6;
2025-09-16T13:51:22+00:00;19.1;
2025-09-16T14:02:56+00:00;18.6;
2025-09-16T14:26:33+00:00;19.1;
2025-09-16T14:32:13+00:00;19.6;
2025-09-16T14:37:57+00:00;19.1;
2025-09-16T14:44:00+00:00;18.6;
2025-09-16T14:53:07+00:00;18.1;
2025-09-16T14:59:50+00:00;17.6;
2025-09-16T15:05:08+00:00;17.1;
2025-09-16T15:13:03+00:00;16.6;
2025-09-16T15:34:17+00:00;16.1;
2025-09-16T16:02:46+00:00;15.6;
2025-09-16T16:44:40+00:00;15.1;
2025-09-16T17:08:09+00:00;14.6;
2025-09-16T17:28:57+00:00;14.1;
2025-09-16T18:03:13+00:00;13.6;
2025-09-16T18:47:43+00:00;13.1;
2025-09-16T20:21:56+00:00;12.6;
2025-09-16T22:18:21+00:00;13.1;
2025-09-16T23:18:13+00:00;12.6;
2025-09-16T23:36:24+00:00;12.1;
2025-09-17T00:16:41+00:00;12.6;
2025-09-17T01:09:46+00:00;13.1;
2025-09-17T05:32:13+00:00;13.6;
2025-09-17T06:35:08+00:00;14.1;
2025-09-17T07:29:57+00:00;14.6;
2025-09-17T08:06:13+00:00;15.1;
2025-09-17T08:16:26+00:00;15.6;
2025-09-17T09:07:26+00:00;16.1;
2025-09-17T09:55:38+00:00;16.6;
2025-09-17T11:46:07+00:00;17.1;
2025-09-17T12:06:46+00:00;17.6;
2025-09-17T12:22:41+00:00;18.1;
2025-09-17T12:30:44+00:00;18.6;
2025-09-17T12:38:52+00:00;19.1;
2025-09-17T13:01:13+00:00;18.6;
2025-09-17T13:10:20+00:00;18.1;
2025-09-17T13:13:07+00:00;18.6;
2025-09-17T13:14:08+00:00;19.1;
2025-09-17T13:15:43+00:00;19.6;
2025-09-17T13:16:53+00:00;20.1;
2025-09-17T13:18:30+00:00;20.6;
