timestamp;[fan speed exhaust air][%][50221];
2025-11-02T10:33:00+00:00;50;
2025-11-10T08:08:00+00:00;50;
Wed Nov 12 2025 09:22:51 GMT+0100 (Central European Standard Time);50;
