timestamp;[Exhaust air (AZ30-BT20)][°C][40025];
2025-11-01T00:24:14+00:00;22.1;
2025-11-01T01:24:20+00:00;21.6;
2025-11-01T07:58:44+00:00;22.1;
2025-11-01T09:16:34+00:00;22.6;
2025-11-01T09:43:39+00:00;23.1;
2025-11-01T10:02:44+00:00;23.6;
2025-11-01T11:28:05+00:00;24.1;
2025-11-01T11:58:37+00:00;23.6;
2025-11-01T12:50:13+00:00;23.1;
2025-11-01T14:00:24+00:00;22.6;
2025-11-01T16:05:51+00:00;22.1;
2025-11-01T18:16:28+00:00;22.6;
2025-11-01T18:23:52+00:00;23.1;
2025-11-01T18:47:17+00:00;23.6;
2025-11-01T19:33:42+00:00;24.1;
2025-11-01T21:02:14+00:00;23.6;
2025-11-01T21:23:01+00:00;23.1;
2025-11-01T21:55:59+00:00;22.6;
2025-11-01T23:33:18+00:00;22.1;
2025-11-02T10:07:03+00:00;22.6;
2025-11-02T10:13:17+00:00;23.1;
2025-11-02T10:23:53+00:00;22.6;
2025-11-02T10:35:44+00:00;22.0;
2025-11-02T10:37:26+00:00;22.5;
2025-11-02T14:03:20+00:00;22.0;
2025-11-02T16:29:48+00:00;22.5;
2025-11-02T17:58:14+00:00;23.0;
2025-11-02T18:14:59+00:00;22.5;
2025-11-02T20:01:40+00:00;22.0;
2025-11-02T22:14:03+00:00;21.5;
2025-11-03T07:04:48+00:00;22.0;
2025-11-03T08:00:04+00:00;21.5;
2025-11-03T15:10:41+00:00;22.0;
2025-11-03T15:24:00+00:00;22.5;
2025-11-03T15:34:59+00:00;23.0;
2025-11-03T15:46:51+00:00;23.5;
2025-11-03T16:06:24+00:00;24.0;
2025-11-03T16:59:20+00:00;23.5;
2025-11-03T17:22:45+00:00;24.0;
2025-11-03T18:31:23+00:00;24.5;
2025-11-03T18:50:33+00:00;24.0;
2025-11-03T18:58:17+00:00;23.5;
2025-11-03T19:32:20+00:00;23.0;
2025-11-03T20:48:12+00:00;22.5;
2025-11-03T22:45:03+00:00;22.0;
2025-11-04T01:53:27+00:00;21.5;
2025-11-04T11:53:54+00:00;22.0;
2025-11-04T12:07:31+00:00;22.5;
2025-11-04T12:17:07+00:00;23.0;
2025-11-04T13:34:54+00:00;22.5;
2025-11-04T16:18:39+00:00;23.0;
2025-11-04T16:37:27+00:00;23.5;
2025-11-04T17:52:44+00:00;24.0;
2025-11-04T18:31:28+00:00;24.5;
2025-11-04T18:37:29+00:00;25.0;
2025-11-04T18:55:25+00:00;24.5;
2025-11-04T18:59:36+00:00;24.0;
2025-11-04T19:20:08+00:00;23.5;
2025-11-04T20:17:34+00:00;23.0;
2025-11-04T21:50:30+00:00;22.5;
2025-11-04T23:51:26+00:00;22.0;
2025-11-05T05:20:11+00:00;21.5;
2025-11-05T06:56:25+00:00;22.0;
2025-11-05T14:03:29+00:00;21.5;
2025-11-05T14:57:49+00:00;22.0;
2025-11-05T17:22:08+00:00;22.5;
2025-11-05T17:36:17+00:00;22.0;
2025-11-05T22:06:29+00:00;21.5;
2025-11-06T05:10:06+00:00;22.0;
2025-11-06T07:03:51+00:00;22.5;
2025-11-06T07:10:25+00:00;23.0;
2025-11-06T07:14:33+00:00;22.5;
2025-11-06T08:19:08+00:00;22.0;
2025-11-06T12:52:20+00:00;21.5;
2025-11-06T16:34:20+00:00;22.0;
2025-11-06T21:06:09+00:00;21.5;
