timestamp;[Set point value temp system 1 cooling][°C][50241];
2025-11-02T10:33:01+00:00;0.0;
2025-11-10T08:08:01+00:00;0.0;
Wed Nov 12 2025 09:23:34 GMT+0100 (Central European Standard Time);0.0;
