timestamp;[Fram­led­ning (BT2)][°C][40008];
2025-11-25T11:03:46+00:00;26.9;
2025-11-25T11:05:28+00:00;26.4;
2025-11-25T11:09:33+00:00;25.9;
2025-11-25T11:15:14+00:00;25.4;
2025-11-25T11:22:43+00:00;24.9;
2025-11-25T11:31:18+00:00;24.4;
2025-11-25T11:40:21+00:00;23.9;
2025-11-25T11:54:19+00:00;23.4;
2025-11-25T12:13:44+00:00;22.9;
2025-11-25T12:42:33+00:00;22.4;
2025-11-25T13:20:37+00:00;23.9;
2025-11-25T13:22:29+00:00;24.4;
2025-11-25T13:23:53+00:00;24.9;
2025-11-25T13:25:00+00:00;25.4;
2025-11-25T13:26:26+00:00;25.9;
2025-11-25T13:28:58+00:00;26.4;
2025-11-25T13:31:28+00:00;26.9;
2025-11-25T13:35:58+00:00;27.4;
2025-11-25T13:41:25+00:00;27.9;
2025-11-25T13:46:13+00:00;28.4;
2025-11-25T13:51:38+00:00;28.9;
2025-11-25T14:02:17+00:00;28.9;
2025-11-25T14:02:18+00:00;46.2;
2025-11-25T14:06:36+00:00;46.2;
2025-11-25T14:06:37+00:00;51.7;
2025-11-25T14:07:53+00:00;52.2;
2025-11-25T14:09:05+00:00;52.7;
2025-11-25T14:15:18+00:00;53.2;
2025-11-25T14:18:07+00:00;53.7;
2025-11-25T14:19:43+00:00;54.2;
2025-11-25T14:22:20+00:00;54.7;
2025-11-25T14:23:51+00:00;55.2;
2025-11-25T14:26:52+00:00;55.7;
2025-11-25T14:29:40+00:00;28.3;
2025-11-25T14:41:27+00:00;28.8;
2025-11-25T15:34:58+00:00;25.8;
2025-11-25T15:39:42+00:00;25.3;
2025-11-25T15:44:57+00:00;24.8;
2025-11-25T15:50:48+00:00;24.3;
2025-11-25T15:56:06+00:00;23.8;
2025-11-25T16:04:44+00:00;23.3;
2025-11-25T16:15:58+00:00;22.8;
2025-11-25T16:32:27+00:00;22.3;
2025-11-25T16:48:30+00:00;22.3;
2025-11-25T16:48:31+00:00;45.0;
2025-11-25T16:52:33+00:00;45.0;
2025-11-25T16:52:34+00:00;52.0;
