timestamp;[Con­denser (BT12)][°C][40017];
2025-10-31T23:03:01+00:00;28.9;
2025-10-31T23:04:40+00:00;28.4;
2025-10-31T23:12:32+00:00;27.4;
2025-10-31T23:22:21+00:00;26.4;
2025-10-31T23:34:53+00:00;25.4;
2025-10-31T23:50:15+00:00;24.4;
2025-11-01T00:16:47+00:00;23.4;
2025-11-01T01:06:51+00:00;22.4;
2025-11-01T01:22:33+00:00;25.1;
2025-11-01T01:28:04+00:00;26.6;
2025-11-01T01:31:15+00:00;27.6;
2025-11-01T01:34:48+00:00;28.6;
2025-11-01T01:36:43+00:00;29.1;
2025-11-01T01:40:50+00:00;30.1;
2025-11-01T01:47:39+00:00;31.6;
2025-11-01T01:54:12+00:00;32.6;
2025-11-01T02:05:53+00:00;33.1;
2025-11-01T02:38:52+00:00;32.1;
2025-11-01T02:53:43+00:00;31.1;
2025-11-01T03:25:52+00:00;30.1;
2025-11-01T03:56:21+00:00;30.1;
2025-11-01T04:04:30+00:00;30.1;
2025-11-01T04:04:31+00:00;52.3;
2025-11-01T04:07:05+00:00;53.8;
2025-11-01T04:11:37+00:00;54.8;
2025-11-01T04:16:14+00:00;56.3;
2025-11-01T04:20:01+00:00;28.4;
2025-11-01T04:28:01+00:00;29.4;
2025-11-01T04:40:03+00:00;30.4;
2025-11-01T05:06:38+00:00;31.4;
2025-11-01T05:15:56+00:00;32.4;
2025-11-01T05:23:21+00:00;32.9;
2025-11-01T06:13:04+00:00;31.4;
2025-11-01T06:27:49+00:00;30.4;
2025-11-01T07:19:01+00:00;29.4;
2025-11-01T07:36:20+00:00;29.4;
2025-11-01T07:36:21+00:00;45.3;
2025-11-01T07:42:19+00:00;45.3;
2025-11-01T07:42:20+00:00;53.8;
2025-11-01T07:43:40+00:00;54.3;
2025-11-01T07:51:59+00:00;56.3;
2025-11-01T07:55:03+00:00;26.0;
2025-11-01T08:23:29+00:00;24.5;
2025-11-01T08:49:21+00:00;23.5;
2025-11-01T09:13:09+00:00;23.0;
2025-11-01T09:31:40+00:00;23.0;
2025-11-01T09:31:41+00:00;51.7;
2025-11-01T09:35:03+00:00;54.2;
2025-11-01T09:46:10+00:00;55.2;
2025-11-01T09:52:23+00:00;26.0;
2025-11-01T09:52:50+00:00;26.5;
2025-11-01T10:26:05+00:00;28.0;
2025-11-01T11:18:46+00:00;29.0;
2025-11-01T11:37:27+00:00;28.0;
2025-11-01T11:43:09+00:00;26.5;
2025-11-01T11:53:06+00:00;25.5;
2025-11-01T12:07:30+00:00;24.5;
2025-11-01T12:26:14+00:00;23.5;
2025-11-01T13:12:46+00:00;22.5;
2025-11-01T14:03:29+00:00;22.5;
2025-11-01T14:03:30+00:00;45.2;
2025-11-01T14:08:58+00:00;45.2;
2025-11-01T14:08:59+00:00;53.7;
2025-11-01T14:20:09+00:00;55.2;
2025-11-01T14:23:06+00:00;56.2;
2025-11-01T14:25:50+00:00;23.0;
2025-11-01T14:36:31+00:00;23.0;
2025-11-01T15:52:22+00:00;22.0;
2025-11-01T16:58:46+00:00;21.5;
2025-11-01T17:48:02+00:00;21.5;
2025-11-01T17:48:03+00:00;53.6;
2025-11-01T17:54:07+00:00;55.1;
2025-11-01T17:59:47+00:00;24.1;
2025-11-01T18:01:55+00:00;25.1;
2025-11-01T18:22:23+00:00;26.6;
2025-11-01T18:30:32+00:00;26.6;
2025-11-01T18:30:33+00:00;46.8;
2025-11-01T18:35:22+00:00;46.8;
2025-11-01T18:35:23+00:00;53.8;
2025-11-01T18:43:32+00:00;54.8;
2025-11-01T18:50:55+00:00;26.4;
2025-11-01T18:54:07+00:00;26.9;
2025-11-01T19:07:15+00:00;27.4;
2025-11-01T19:19:29+00:00;25.4;
2025-11-01T19:34:49+00:00;23.9;
2025-11-01T19:55:39+00:00;22.9;
2025-11-01T20:14:31+00:00;22.4;
2025-11-01T20:34:29+00:00;24.5;
2025-11-01T20:44:22+00:00;25.5;
2025-11-01T20:52:41+00:00;26.5;
2025-11-01T21:03:28+00:00;27.5;
2025-11-01T21:19:38+00:00;28.5;
2025-11-02T02:07:39+00:00;28.5;
2025-11-02T02:07:40+00:00;57.3;
2025-11-02T02:08:33+00:00;57.8;
2025-11-02T02:22:52+00:00;54.3;
2025-11-02T02:30:18+00:00;55.3;
2025-11-02T02:33:29+00:00;55.8;
2025-11-02T02:38:15+00:00;56.8;
2025-11-02T02:44:02+00:00;58.3;
2025-11-02T02:46:58+00:00;59.3;
2025-11-02T02:48:43+00:00;59.8;
2025-11-02T02:53:24+00:00;61.3;
2025-11-02T02:54:59+00:00;61.8;
2025-11-02T02:59:03+00:00;62.8;
2025-11-02T03:01:29+00:00;24.2;
2025-11-02T03:17:44+00:00;23.7;
2025-11-02T03:32:28+00:00;25.7;
2025-11-02T03:35:12+00:00;26.2;
2025-11-02T03:42:35+00:00;27.2;
2025-11-02T03:57:46+00:00;28.7;
2025-11-02T04:14:19+00:00;29.7;
2025-11-02T06:15:14+00:00;27.7;
2025-11-02T06:15:56+00:00;27.2;
2025-11-02T06:24:17+00:00;26.2;
2025-11-02T06:35:13+00:00;25.2;
2025-11-02T06:50:22+00:00;24.2;
2025-11-02T07:19:21+00:00;23.2;
2025-11-02T08:42:06+00:00;22.2;
2025-11-02T09:15:32+00:00;23.7;
2025-11-02T09:23:30+00:00;24.7;
2025-11-02T09:33:52+00:00;25.7;
2025-11-02T09:39:04+00:00;26.2;
2025-11-02T10:08:00+00:00;27.7;
2025-11-02T10:22:05+00:00;27.7;
2025-11-02T10:22:06+00:00;47.3;
2025-11-02T10:33:52+00:00;23.1;
2025-11-02T10:47:04+00:00;23.1;
2025-11-02T10:47:05+00:00;47.2;
2025-11-02T10:48:05+00:00;47.7;
2025-11-02T10:54:07+00:00;47.7;
2025-11-02T10:54:42+00:00;47.2;
2025-11-02T10:59:46+00:00;47.7;
2025-11-02T11:00:54+00:00;47.2;
2025-11-02T11:21:51+00:00;47.2;
2025-11-02T11:24:17+00:00;46.2;
2025-11-02T11:28:22+00:00;47.7;
2025-11-02T11:38:30+00:00;47.2;
2025-11-02T11:44:22+00:00;48.2;
2025-11-02T11:49:48+00:00;49.7;
2025-11-02T11:51:50+00:00;23.1;
2025-11-02T11:54:24+00:00;23.6;
2025-11-02T13:14:53+00:00;22.1;
2025-11-02T14:00:32+00:00;22.1;
2025-11-02T14:00:33+00:00;31.3;
2025-11-02T14:07:41+00:00;31.3;
2025-11-02T14:07:42+00:00;53.1;
2025-11-02T14:23:12+00:00;54.6;
2025-11-02T14:27:41+00:00;55.6;
2025-11-02T14:33:08+00:00;22.8;
2025-11-02T16:07:04+00:00;21.8;
2025-11-02T17:16:50+00:00;21.8;
2025-11-02T17:16:51+00:00;44.6;
2025-11-02T17:21:41+00:00;44.6;
2025-11-02T17:21:42+00:00;52.1;
2025-11-02T17:24:37+00:00;54.1;
2025-11-02T17:27:24+00:00;54.6;
2025-11-02T17:32:52+00:00;52.6;
2025-11-02T17:41:03+00:00;54.1;
2025-11-02T17:44:41+00:00;22.3;
2025-11-02T18:01:24+00:00;22.3;
2025-11-02T18:01:25+00:00;50.5;
2025-11-02T18:06:20+00:00;53.5;
2025-11-02T18:22:58+00:00;54.5;
2025-11-02T18:24:02+00:00;54.0;
2025-11-02T18:30:46+00:00;55.5;
2025-11-02T18:35:15+00:00;22.7;
