timestamp;[Set point value temp system 1 heat][°C][50233];
2025-11-02T10:33:01+00:00;-32768.0;
2025-11-10T08:08:01+00:00;-32768.0;
Wed Nov 12 2025 09:23:38 GMT+0100 (Central European Standard Time);-32768.0;
