timestamp;[Oper. time][hrs][43420];
2025-11-01T01:23:13+00:00;11595;
2025-11-01T02:23:34+00:00;11596;
2025-11-01T03:22:54+00:00;11597;
2025-11-01T04:23:15+00:00;11598;
2025-11-01T05:23:36+00:00;11599;
2025-11-01T06:22:57+00:00;11600;
2025-11-01T07:23:18+00:00;11601;
2025-11-01T09:56:19+00:00;11602;
2025-11-01T10:55:40+00:00;11603;
2025-11-01T14:18:57+00:00;11604;
2025-11-01T18:36:04+00:00;11605;
2025-11-01T20:50:26+00:00;11606;
2025-11-01T21:50:47+00:00;11607;
2025-11-01T22:50:08+00:00;11608;
2025-11-01T23:50:29+00:00;11609;
2025-11-02T00:50:50+00:00;11610;
2025-11-02T01:50:11+00:00;11611;
2025-11-02T03:57:44+00:00;11612;
2025-11-02T04:57:05+00:00;11613;
2025-11-02T05:57:26+00:00;11614;
2025-11-02T09:58:09+00:00;11615;
2025-11-02T10:33:00+00:00;11615;
2025-11-02T11:38:04+00:00;11616;
2025-11-02T17:33:02+00:00;11617;
2025-11-02T22:25:52+00:00;11618;
2025-11-02T23:26:14+00:00;11619;
2025-11-03T00:25:34+00:00;11620;
2025-11-03T01:25:55+00:00;11621;
2025-11-03T02:26:16+00:00;11622;
2025-11-03T03:25:37+00:00;11623;
2025-11-03T04:25:58+00:00;11624;
2025-11-03T05:26:19+00:00;11625;
2025-11-03T11:33:05+00:00;11626;
2025-11-03T14:05:08+00:00;11627;
2025-11-03T18:38:20+00:00;11628;
2025-11-03T19:37:41+00:00;11629;
2025-11-03T20:38:02+00:00;11630;
2025-11-03T21:38:23+00:00;11631;
2025-11-03T23:26:25+00:00;11632;
2025-11-04T00:26:46+00:00;11633;
2025-11-04T02:11:27+00:00;11634;
2025-11-04T03:11:48+00:00;11635;
2025-11-04T04:12:09+00:00;11636;
2025-11-04T05:11:30+00:00;11637;
2025-11-04T06:11:51+00:00;11638;
2025-11-04T08:59:13+00:00;11639;
2025-11-04T09:58:34+00:00;11640;
2025-11-04T12:59:02+00:00;11641;
2025-11-04T14:10:05+00:00;11642;
2025-11-04T18:35:09+00:00;11643;
2025-11-04T22:37:49+00:00;11644;
2025-11-05T01:00:13+00:00;11645;
2025-11-05T02:00:34+00:00;11646;
2025-11-05T04:32:54+00:00;11647;
2025-11-05T05:33:15+00:00;11648;
2025-11-05T14:39:11+00:00;11649;
2025-11-05T18:39:37+00:00;11650;
2025-11-05T23:50:04+00:00;11651;
2025-11-06T00:50:25+00:00;11652;
2025-11-06T03:32:10+00:00;11653;
2025-11-06T04:31:31+00:00;11654;
2025-11-06T15:05:51+00:00;11655;
2025-11-06T17:09:26+00:00;11656;
2025-11-06T23:50:55+00:00;11657;
2025-11-07T00:50:16+00:00;11658;
2025-11-07T01:50:37+00:00;11659;
2025-11-07T02:50:58+00:00;11660;
2025-11-07T03:50:19+00:00;11661;
2025-11-07T14:27:48+00:00;11662;
2025-11-07T17:50:32+00:00;11663;
2025-11-07T19:09:37+00:00;11664;
2025-11-07T20:08:59+00:00;11665;
2025-11-07T21:09:20+00:00;11666;
2025-11-07T22:09:41+00:00;11667;
2025-11-07T23:09:01+00:00;11668;
2025-11-08T01:26:03+00:00;11669;
2025-11-08T02:25:24+00:00;11670;
2025-11-08T03:25:45+00:00;11671;
2025-11-08T04:26:06+00:00;11672;
2025-11-08T05:25:27+00:00;11673;
2025-11-08T06:25:48+00:00;11674;
2025-11-08T07:26:09+00:00;11675;
2025-11-08T08:25:30+00:00;11676;
2025-11-08T17:03:10+00:00;11677;
2025-11-08T18:15:59+00:00;11678;
2025-11-08T20:18:24+00:00;11679;
2025-11-08T21:18:45+00:00;11680;
2025-11-08T22:18:06+00:00;11681;
2025-11-09T00:34:07+00:00;11682;
2025-11-09T01:33:28+00:00;11683;
2025-11-09T02:33:49+00:00;11684;
2025-11-09T03:34:10+00:00;11685;
2025-11-09T04:33:31+00:00;11686;
2025-11-09T05:33:52+00:00;11687;
2025-11-09T06:34:13+00:00;11688;
