timestamp;[Evap­orator (BT16)][°C][40020];
2025-11-24T07:04:15+00:00;-4.8;
2025-11-24T07:07:02+00:00;-4.3;
2025-11-24T07:14:19+00:00;-3.8;
2025-11-24T07:29:26+00:00;-3.3;
2025-11-24T07:32:55+00:00;-4.3;
2025-11-24T07:34:37+00:00;-4.8;
2025-11-24T07:35:28+00:00;-6.3;
2025-11-24T07:36:45+00:00;-5.8;
2025-11-24T07:38:13+00:00;-6.3;
2025-11-24T07:40:24+00:00;-6.8;
2025-11-24T07:41:31+00:00;-7.3;
2025-11-24T07:43:42+00:00;-7.8;
2025-11-24T07:45:29+00:00;-8.3;
2025-11-24T07:47:21+00:00;-8.8;
2025-11-24T07:49:21+00:00;-9.3;
2025-11-24T07:51:44+00:00;-9.8;
2025-11-24T07:54:25+00:00;-10.3;
2025-11-24T07:59:19+00:00;-8.8;
2025-11-24T08:01:25+00:00;-8.3;
2025-11-24T08:04:21+00:00;-9.8;
2025-11-24T08:10:07+00:00;-10.3;
2025-11-24T08:12:14+00:00;-10.8;
2025-11-24T08:23:30+00:00;-10.3;
2025-11-24T08:31:03+00:00;-10.8;
2025-11-24T08:40:16+00:00;-10.8;
2025-11-24T08:40:17+00:00;-2.3;
2025-11-24T08:41:15+00:00;-0.8;
2025-11-24T08:42:36+00:00;-0.3;
2025-11-24T08:49:07+00:00;-0.3;
2025-11-24T08:49:08+00:00;10.2;
2025-11-24T08:49:30+00:00;10.7;
2025-11-24T08:53:38+00:00;13.7;
2025-11-24T08:56:04+00:00;14.7;
2025-11-24T08:57:49+00:00;15.2;
2025-11-24T09:00:01+00:00;15.7;
2025-11-24T09:02:27+00:00;16.2;
2025-11-24T09:05:03+00:00;16.7;
2025-11-24T09:09:40+00:00;-7.4;
2025-11-24T09:11:50+00:00;-8.9;
2025-11-24T09:18:50+00:00;-8.4;
2025-11-24T09:48:10+00:00;-7.9;
2025-11-24T10:00:41+00:00;-9.4;
2025-11-24T10:03:14+00:00;-11.4;
2025-11-24T10:05:31+00:00;-11.9;
2025-11-24T10:07:23+00:00;-12.4;
2025-11-24T10:09:33+00:00;-12.9;
2025-11-24T10:11:15+00:00;-13.4;
2025-11-24T10:13:24+00:00;-13.9;
2025-11-24T10:15:44+00:00;-14.4;
2025-11-24T10:18:46+00:00;-14.9;
2025-11-24T10:22:19+00:00;-15.4;
2025-11-24T10:25:07+00:00;-15.9;
2025-11-24T10:31:31+00:00;-16.4;
2025-11-24T10:51:13+00:00;-16.4;
2025-11-24T10:51:14+00:00;-1.5;
2025-11-24T10:52:18+00:00;-0.5;
2025-11-24T10:56:25+00:00;-0.5;
2025-11-24T10:56:26+00:00;9.0;
2025-11-24T10:59:24+00:00;-14.2;
2025-11-24T11:01:14+00:00;-15.7;
2025-11-24T11:20:02+00:00;-15.2;
2025-11-24T11:24:36+00:00;-14.7;
2025-11-24T11:29:02+00:00;-14.2;
2025-11-24T11:33:10+00:00;-13.7;
2025-11-24T11:35:35+00:00;-13.2;
2025-11-24T11:37:36+00:00;-12.7;
2025-11-24T11:40:26+00:00;-12.2;
2025-11-24T11:43:36+00:00;-11.7;
2025-11-24T11:46:28+00:00;-11.2;
2025-11-24T11:48:51+00:00;-10.7;
2025-11-24T11:51:21+00:00;-10.2;
2025-11-24T11:53:28+00:00;-9.7;
2025-11-24T11:55:45+00:00;-9.2;
2025-11-24T11:59:20+00:00;-8.7;
2025-11-24T12:02:54+00:00;-8.2;
2025-11-24T12:05:31+00:00;-7.7;
2025-11-24T12:08:34+00:00;-7.2;
2025-11-24T12:12:17+00:00;-6.7;
2025-11-24T12:16:54+00:00;-6.2;
2025-11-24T12:20:43+00:00;-5.7;
2025-11-24T12:27:05+00:00;-5.2;
2025-11-24T12:56:49+00:00;-5.7;
2025-11-24T13:05:31+00:00;-6.2;
2025-11-24T13:14:29+00:00;-6.7;
2025-11-24T13:19:36+00:00;-7.2;
2025-11-24T13:26:52+00:00;-7.7;
2025-11-24T13:33:17+00:00;-8.2;
2025-11-24T13:40:49+00:00;-8.7;
2025-11-24T13:51:09+00:00;-9.2;
2025-11-24T14:02:38+00:00;-13.2;
2025-11-24T14:03:44+00:00;-13.7;
2025-11-24T14:08:10+00:00;-13.2;
2025-11-24T14:16:10+00:00;-13.2;
2025-11-24T14:16:11+00:00;-0.7;
2025-11-24T14:18:45+00:00;-0.2;
2025-11-24T14:22:46+00:00;-0.2;
2025-11-24T14:22:47+00:00;6.8;
2025-11-24T14:26:22+00:00;-10.4;
2025-11-24T14:28:44+00:00;-10.9;
2025-11-24T14:33:28+00:00;-10.4;
2025-11-24T14:34:37+00:00;-9.9;
2025-11-24T14:37:31+00:00;-9.9;
2025-11-24T14:39:28+00:00;-7.4;
2025-11-24T14:40:51+00:00;-7.9;
2025-11-24T14:43:00+00:00;-8.4;
2025-11-24T14:44:54+00:00;-8.9;
2025-11-24T14:46:41+00:00;-9.4;
2025-11-24T14:47:44+00:00;-9.9;
2025-11-24T14:49:38+00:00;-10.4;
2025-11-24T14:52:28+00:00;-10.9;
2025-11-24T14:55:04+00:00;-11.4;
2025-11-24T14:58:22+00:00;-11.9;
2025-11-24T15:00:48+00:00;-12.4;
2025-11-24T15:15:01+00:00;-12.9;
2025-11-24T15:41:03+00:00;-12.4;
2025-11-24T15:51:03+00:00;-11.9;
2025-11-24T15:58:54+00:00;-11.4;
2025-11-24T16:03:32+00:00;-10.9;
2025-11-24T16:16:28+00:00;-10.9;
2025-11-24T16:16:29+00:00;-0.8;
2025-11-24T16:17:39+00:00;-0.3;
2025-11-24T16:23:34+00:00;-1.8;
2025-11-24T16:26:27+00:00;-7.8;
2025-11-24T16:30:37+00:00;-7.3;
2025-11-24T16:32:09+00:00;-6.8;
2025-11-24T16:35:13+00:00;-6.3;
2025-11-24T16:37:29+00:00;-5.8;
2025-11-24T16:39:07+00:00;-5.3;
2025-11-24T16:41:26+00:00;-4.8;
2025-11-24T16:43:25+00:00;-4.3;
2025-11-24T16:45:10+00:00;-3.8;
2025-11-24T16:47:15+00:00;-3.3;
2025-11-24T16:48:35+00:00;-2.8;
2025-11-24T16:54:07+00:00;-2.8;
2025-11-24T16:54:08+00:00;9.2;
2025-11-24T16:59:14+00:00;-1.3;
2025-11-24T17:02:41+00:00;-12.3;
2025-11-24T17:13:57+00:00;-12.8;
2025-11-24T17:17:07+00:00;-13.3;
2025-11-24T17:20:14+00:00;-13.8;
2025-11-24T17:26:53+00:00;-12.3;
2025-11-24T17:30:02+00:00;-12.8;
2025-11-24T17:31:24+00:00;-13.3;
2025-11-24T17:32:28+00:00;-13.8;
2025-11-24T17:33:38+00:00;-14.3;
2025-11-24T17:39:37+00:00;-13.8;
2025-11-24T17:46:13+00:00;-13.3;
2025-11-24T17:47:39+00:00;-12.8;
2025-11-24T17:49:02+00:00;-12.3;
2025-11-24T17:53:42+00:00;-12.8;
2025-11-24T18:04:01+00:00;-11.3;
2025-11-24T18:06:19+00:00;-11.3;
2025-11-24T18:06:20+00:00;-0.8;
2025-11-24T18:07:25+00:00;-0.3;
2025-11-24T18:09:02+00:00;1.2;
2025-11-24T18:14:04+00:00;-10.4;
2025-11-24T18:15:21+00:00;-11.9;
2025-11-24T18:16:43+00:00;-12.4;
2025-11-24T18:21:39+00:00;-11.9;
2025-11-24T18:39:43+00:00;-11.4;
2025-11-24T18:46:28+00:00;-10.9;
2025-11-24T18:49:11+00:00;-10.4;
2025-11-24T18:50:26+00:00;-9.9;
2025-11-24T18:52:38+00:00;-9.4;
2025-11-24T18:54:16+00:00;-8.9;
2025-11-24T18:56:49+00:00;-8.4;
2025-11-24T18:58:44+00:00;-7.9;
2025-11-24T19:04:10+00:00;-7.9;
2025-11-24T19:04:11+00:00;-2.4;
2025-11-24T19:06:17+00:00;-1.9;
2025-11-24T19:09:29+00:00;-2.4;
2025-11-24T19:12:35+00:00;-2.9;
2025-11-24T19:15:37+00:00;-3.4;
2025-11-24T19:17:19+00:00;-3.9;
2025-11-24T19:19:21+00:00;-4.4;
2025-11-24T19:20:52+00:00;-4.9;
2025-11-24T19:22:40+00:00;-5.4;
2025-11-24T19:24:06+00:00;-5.9;
2025-11-24T19:26:00+00:00;-6.4;
2025-11-24T19:27:51+00:00;-6.9;
2025-11-24T19:29:41+00:00;-7.4;
2025-11-24T19:31:35+00:00;-7.9;
2025-11-24T19:33:51+00:00;-8.4;
2025-11-24T19:36:02+00:00;-8.9;
2025-11-24T19:38:04+00:00;-9.4;
2025-11-24T19:39:53+00:00;-9.9;
2025-11-24T19:41:44+00:00;-10.4;
2025-11-24T19:43:48+00:00;-10.9;
2025-11-24T19:46:14+00:00;-11.4;
2025-11-24T19:48:34+00:00;-11.9;
2025-11-24T19:50:52+00:00;-12.4;
2025-11-24T19:54:00+00:00;-12.9;
2025-11-24T19:55:57+00:00;-13.4;
2025-11-24T19:58:29+00:00;-13.9;
2025-11-24T20:00:43+00:00;-14.4;
2025-11-24T20:02:56+00:00;-14.9;
2025-11-24T20:05:39+00:00;-15.4;
2025-11-24T20:08:15+00:00;-15.9;
2025-11-24T20:11:28+00:00;-16.4;
2025-11-24T20:14:35+00:00;-16.9;
2025-11-24T20:21:46+00:00;-16.4;
2025-11-24T20:40:44+00:00;-16.9;
2025-11-24T20:45:09+00:00;-16.9;
2025-11-24T20:45:10+00:00;-0.9;
2025-11-24T20:45:27+00:00;-0.4;
2025-11-24T20:50:20+00:00;-0.4;
2025-11-24T20:50:21+00:00;5.5;
2025-11-24T20:52:44+00:00;-14.6;
2025-11-24T20:54:18+00:00;-16.1;
2025-11-24T20:57:51+00:00;-16.6;
2025-11-24T21:09:35+00:00;-17.1;
2025-11-24T21:12:12+00:00;-16.1;
2025-11-24T21:57:35+00:00;-16.6;
2025-11-24T22:01:09+00:00;-16.6;
2025-11-24T22:01:10+00:00;-2.2;
2025-11-24T22:02:08+00:00;-0.7;
2025-11-24T22:06:16+00:00;-0.7;
2025-11-24T22:06:17+00:00;6.5;
2025-11-24T22:09:17+00:00;-14.3;
2025-11-24T22:11:01+00:00;-14.8;
2025-11-24T22:11:28+00:00;-15.3;
2025-11-24T22:15:09+00:00;-15.8;
2025-11-24T22:24:01+00:00;-16.3;
2025-11-24T22:26:03+00:00;-16.8;
2025-11-24T22:30:13+00:00;-16.3;
2025-11-24T23:11:07+00:00;-16.8;
2025-11-24T23:17:03+00:00;-16.8;
2025-11-24T23:17:04+00:00;-1.8;
2025-11-24T23:17:45+00:00;-0.8;
2025-11-24T23:22:13+00:00;3.5;
2025-11-24T23:25:02+00:00;-15.3;
2025-11-24T23:27:00+00:00;-16.3;
2025-11-24T23:37:46+00:00;-16.8;
2025-11-24T23:41:56+00:00;-16.3;
2025-11-25T00:29:48+00:00;-16.8;
2025-11-25T00:36:36+00:00;-16.8;
2025-11-25T00:36:37+00:00;-0.7;
2025-11-25T00:42:10+00:00;-8.9;
2025-11-25T00:44:09+00:00;-14.9;
2025-11-25T00:46:14+00:00;-15.9;
2025-11-25T00:57:39+00:00;-16.9;
2025-11-25T00:58:14+00:00;-17.4;
2025-11-25T01:01:14+00:00;-16.4;
2025-11-25T01:02:44+00:00;-15.9;
2025-11-25T01:34:17+00:00;-15.4;
2025-11-25T01:57:58+00:00;-15.9;
2025-11-25T02:03:30+00:00;-11.4;
2025-11-25T02:06:02+00:00;-11.4;
2025-11-25T02:06:03+00:00;-0.6;
2025-11-25T02:08:31+00:00;-0.6;
2025-11-25T02:08:32+00:00;6.5;
2025-11-25T02:12:58+00:00;-13.4;
2025-11-25T02:15:29+00:00;-14.9;
2025-11-25T02:27:51+00:00;-17.4;
2025-11-25T02:30:33+00:00;-16.4;
2025-11-25T02:32:02+00:00;-15.9;
2025-11-25T03:27:46+00:00;-15.9;
2025-11-25T03:27:47+00:00;-0.9;
2025-11-25T03:33:34+00:00;-8.4;
2025-11-25T03:35:10+00:00;-13.9;
2025-11-25T03:37:32+00:00;-15.4;
2025-11-25T03:48:50+00:00;-16.4;
2025-11-25T03:49:56+00:00;-17.4;
2025-11-25T03:53:19+00:00;-16.4;
2025-11-25T03:54:59+00:00;-15.9;
2025-11-25T04:03:42+00:00;-13.4;
2025-11-25T04:07:11+00:00;-11.9;
2025-11-25T04:09:02+00:00;-11.4;
2025-11-25T04:10:08+00:00;-10.9;
2025-11-25T04:11:52+00:00;-10.4;
2025-11-25T04:13:38+00:00;-9.9;
2025-11-25T04:14:43+00:00;-10.9;
2025-11-25T04:17:07+00:00;-12.4;
2025-11-25T04:18:58+00:00;-13.4;
2025-11-25T04:22:21+00:00;-16.4;
2025-11-25T04:23:29+00:00;-16.9;
2025-11-25T04:31:04+00:00;-17.4;
