timestamp;[Value air veloc­ity sensor (BS1)][][42782];
2025-11-23T23:00:10+00:00;198.3;
2025-11-23T23:02:16+00:00;194.2;
2025-11-23T23:04:13+00:00;193.2;
2025-11-23T23:06:14+00:00;195.2;
2025-11-23T23:07:55+00:00;194.2;
2025-11-23T23:10:47+00:00;194.2;
2025-11-23T23:14:22+00:00;193.2;
2025-11-23T23:15:27+00:00;194.2;
2025-11-23T23:16:25+00:00;193.2;
2025-11-23T23:17:37+00:00;194.2;
2025-11-23T23:19:03+00:00;195.2;
2025-11-23T23:23:48+00:00;195.2;
2025-11-23T23:25:30+00:00;195.2;
2025-11-23T23:27:21+00:00;195.2;
2025-11-23T23:30:11+00:00;195.2;
2025-11-23T23:31:24+00:00;194.2;
2025-11-23T23:31:54+00:00;193.2;
2025-11-23T23:33:13+00:00;192.2;
2025-11-23T23:36:20+00:00;191.2;
2025-11-23T23:37:22+00:00;192.2;
2025-11-23T23:39:28+00:00;192.2;
2025-11-23T23:40:42+00:00;193.2;
2025-11-23T23:41:48+00:00;192.2;
2025-11-23T23:43:12+00:00;191.2;
2025-11-23T23:46:03+00:00;191.2;
2025-11-23T23:49:41+00:00;192.2;
2025-11-23T23:51:31+00:00;189.2;
2025-11-23T23:52:01+00:00;190.2;
2025-11-23T23:53:20+00:00;191.2;
2025-11-23T23:54:32+00:00;190.2;
2025-11-23T23:57:29+00:00;191.2;
2025-11-24T00:00:16+00:00;192.2;
2025-11-24T00:01:38+00:00;191.2;
2025-11-24T00:06:37+00:00;191.2;
2025-11-24T00:10:39+00:00;191.2;
2025-11-24T00:11:41+00:00;192.2;
2025-11-24T00:13:14+00:00;191.2;
2025-11-24T00:15:00+00:00;192.2;
2025-11-24T00:16:18+00:00;191.2;
2025-11-24T00:20:32+00:00;189.2;
2025-11-24T00:21:57+00:00;188.2;
2025-11-24T00:23:25+00:00;189.2;
2025-11-24T00:25:21+00:00;188.2;
2025-11-24T00:26:23+00:00;189.2;
2025-11-24T00:27:49+00:00;188.2;
2025-11-24T00:30:33+00:00;186.2;
2025-11-24T00:32:17+00:00;185.2;
2025-11-24T00:34:49+00:00;183.2;
2025-11-24T00:36:34+00:00;181.2;
2025-11-24T00:41:57+00:00;181.2;
2025-11-24T00:41:58+00:00;193.3;
2025-11-24T00:43:02+00:00;192.3;
2025-11-24T00:46:00+00:00;193.3;
2025-11-24T00:48:17+00:00;195.3;
2025-11-24T00:50:13+00:00;194.3;
2025-11-24T00:51:51+00:00;195.3;
2025-11-24T00:52:43+00:00;194.3;
2025-11-24T00:53:44+00:00;195.3;
2025-11-24T00:55:52+00:00;194.3;
2025-11-24T00:56:55+00:00;195.3;
2025-11-24T00:59:57+00:00;194.3;
2025-11-24T01:06:24+00:00;193.3;
2025-11-24T01:08:07+00:00;193.3;
2025-11-24T01:09:57+00:00;193.3;
2025-11-24T01:11:19+00:00;192.3;
2025-11-24T01:11:58+00:00;193.3;
2025-11-24T01:15:22+00:00;193.3;
2025-11-24T01:16:33+00:00;192.3;
2025-11-24T01:17:18+00:00;193.3;
2025-11-24T01:19:30+00:00;193.3;
2025-11-24T01:21:32+00:00;193.3;
2025-11-24T01:22:33+00:00;193.3;
2025-11-24T01:26:19+00:00;192.3;
2025-11-24T01:27:46+00:00;194.3;
2025-11-24T01:31:51+00:00;194.3;
2025-11-24T01:32:56+00:00;194.3;
2025-11-24T01:39:40+00:00;193.3;
2025-11-24T01:41:00+00:00;194.3;
2025-11-24T01:42:27+00:00;195.3;
2025-11-24T01:43:30+00:00;194.3;
2025-11-24T01:50:07+00:00;194.3;
2025-11-24T01:52:18+00:00;193.3;
2025-11-24T01:52:46+00:00;194.3;
2025-11-24T01:57:12+00:00;195.3;
2025-11-24T01:58:18+00:00;194.3;
2025-11-24T02:01:09+00:00;193.3;
2025-11-24T02:04:51+00:00;194.3;
2025-11-24T02:06:59+00:00;193.3;
2025-11-24T02:09:55+00:00;192.3;
2025-11-24T02:11:14+00:00;193.3;
2025-11-24T02:12:20+00:00;194.3;
2025-11-24T02:16:59+00:00;194.3;
2025-11-24T02:21:49+00:00;193.3;
2025-11-24T02:27:19+00:00;192.3;
2025-11-24T02:27:45+00:00;193.3;
2025-11-24T02:29:49+00:00;196.3;
2025-11-24T02:31:19+00:00;195.3;
2025-11-24T02:32:37+00:00;196.3;
2025-11-24T02:34:56+00:00;195.3;
2025-11-24T02:37:40+00:00;194.3;
2025-11-24T02:39:34+00:00;194.3;
2025-11-24T02:40:45+00:00;195.3;
2025-11-24T02:42:49+00:00;194.3;
2025-11-24T02:44:44+00:00;193.3;
2025-11-24T02:46:10+00:00;192.3;
2025-11-24T02:47:24+00:00;193.3;
2025-11-24T02:52:01+00:00;192.3;
2025-11-24T02:59:11+00:00;191.3;
2025-11-24T03:01:08+00:00;189.3;
2025-11-24T03:03:15+00:00;188.3;
2025-11-24T03:06:28+00:00;187.3;
2025-11-24T03:09:12+00:00;186.3;
2025-11-24T03:11:58+00:00;185.3;
2025-11-24T03:12:44+00:00;184.3;
2025-11-24T03:14:24+00:00;185.3;
2025-11-24T03:16:30+00:00;184.3;
2025-11-24T03:19:34+00:00;183.3;
2025-11-24T03:21:46+00:00;181.3;
2025-11-24T03:24:50+00:00;180.2;
2025-11-24T03:27:03+00:00;180.2;
2025-11-24T03:28:23+00:00;181.2;
2025-11-24T03:31:19+00:00;180.2;
2025-11-24T03:33:19+00:00;179.2;
2025-11-24T03:35:32+00:00;177.2;
2025-11-24T03:39:48+00:00;176.2;
2025-11-24T03:43:16+00:00;177.2;
2025-11-24T03:44:28+00:00;175.1;
2025-11-24T03:47:25+00:00;175.1;
2025-11-24T03:47:26+00:00;190.4;
2025-11-24T03:49:25+00:00;190.4;
2025-11-24T03:49:26+00:00;198.4;
2025-11-24T03:51:46+00:00;199.4;
2025-11-24T03:55:54+00:00;200.4;
2025-11-24T03:57:22+00:00;202.4;
2025-11-24T04:01:16+00:00;200.4;
2025-11-24T04:02:32+00:00;199.4;
2025-11-24T04:03:29+00:00;200.4;
2025-11-24T04:06:32+00:00;198.4;
2025-11-24T04:12:15+00:00;198.4;
2025-11-24T04:15:20+00:00;198.4;
2025-11-24T04:17:19+00:00;198.4;
2025-11-24T04:20:30+00:00;200.4;
2025-11-24T04:25:14+00:00;199.4;
2025-11-24T04:27:09+00:00;198.4;
2025-11-24T04:28:10+00:00;199.4;
2025-11-24T04:30:04+00:00;198.4;
2025-11-24T04:32:08+00:00;199.6;
2025-11-24T04:33:35+00:00;198.6;
2025-11-24T04:37:39+00:00;198.5;
2025-11-24T04:38:48+00:00;196.5;
2025-11-24T04:40:17+00:00;197.5;
2025-11-24T04:42:30+00:00;196.5;
2025-11-24T04:47:40+00:00;195.5;
2025-11-24T04:49:52+00:00;196.5;
2025-11-24T04:55:28+00:00;195.5;
2025-11-24T04:56:50+00:00;194.5;
2025-11-24T04:58:48+00:00;195.5;
2025-11-24T05:03:34+00:00;192.4;
2025-11-24T05:08:44+00:00;191.4;
