timestamp;[Liquid line (BT15)][°C][40019];
2025-11-24T09:01:34+00:00;35.9;
2025-11-24T09:04:18+00:00;36.4;
2025-11-24T09:08:09+00:00;37.0;
2025-11-24T09:09:42+00:00;37.5;
2025-11-24T09:10:35+00:00;38.5;
2025-11-24T09:13:21+00:00;40.5;
2025-11-24T09:16:04+00:00;41.0;
2025-11-24T09:18:40+00:00;41.5;
2025-11-24T09:23:05+00:00;42.0;
2025-11-24T09:25:54+00:00;42.5;
2025-11-24T09:29:36+00:00;41.5;
2025-11-24T09:31:23+00:00;42.0;
2025-11-24T09:32:56+00:00;42.5;
2025-11-24T09:34:21+00:00;43.0;
2025-11-24T09:35:45+00:00;43.5;
2025-11-24T09:37:15+00:00;44.0;
2025-11-24T09:38:45+00:00;44.5;
2025-11-24T09:40:24+00:00;45.0;
2025-11-24T09:41:59+00:00;45.5;
2025-11-24T09:43:36+00:00;46.0;
2025-11-24T09:45:18+00:00;46.5;
2025-11-24T09:47:04+00:00;47.0;
2025-11-24T09:49:32+00:00;47.5;
2025-11-24T09:51:35+00:00;48.0;
2025-11-24T09:53:49+00:00;48.5;
2025-11-24T09:55:57+00:00;49.0;
2025-11-24T09:58:19+00:00;49.5;
2025-11-24T10:00:22+00:00;23.8;
2025-11-24T10:01:30+00:00;23.8;
2025-11-24T10:03:15+00:00;24.3;
2025-11-24T10:05:29+00:00;24.8;
2025-11-24T10:07:58+00:00;25.3;
2025-11-24T10:11:31+00:00;25.8;
2025-11-24T10:14:40+00:00;26.3;
2025-11-24T10:17:43+00:00;26.8;
2025-11-24T10:20:50+00:00;27.3;
2025-11-24T10:24:12+00:00;27.8;
2025-11-24T10:27:42+00:00;28.3;
2025-11-24T10:31:12+00:00;28.8;
2025-11-24T10:35:05+00:00;29.3;
2025-11-24T10:40:11+00:00;29.8;
2025-11-24T10:45:01+00:00;30.3;
2025-11-24T10:49:32+00:00;29.3;
2025-11-24T10:51:09+00:00;28.8;
2025-11-24T10:54:26+00:00;23.3;
2025-11-24T10:56:31+00:00;27.3;
2025-11-24T10:57:12+00:00;29.4;
2025-11-24T10:58:28+00:00;28.9;
2025-11-24T10:59:48+00:00;29.4;
2025-11-24T11:04:34+00:00;29.9;
2025-11-24T11:08:57+00:00;30.4;
2025-11-24T11:13:32+00:00;30.9;
2025-11-24T11:19:06+00:00;31.4;
2025-11-24T11:26:16+00:00;31.9;
2025-11-24T11:48:28+00:00;32.4;
2025-11-24T11:56:43+00:00;31.9;
2025-11-24T12:10:10+00:00;31.4;
2025-11-24T12:20:11+00:00;30.9;
2025-11-24T12:29:33+00:00;30.4;
2025-11-24T12:42:48+00:00;29.9;
2025-11-24T13:49:47+00:00;30.4;
2025-11-24T14:02:05+00:00;30.4;
2025-11-24T14:02:06+00:00;46.9;
2025-11-24T14:02:52+00:00;47.4;
2025-11-24T14:04:49+00:00;47.9;
2025-11-24T14:07:03+00:00;48.4;
2025-11-24T14:08:23+00:00;48.9;
2025-11-24T14:10:00+00:00;49.4;
2025-11-24T14:11:31+00:00;49.9;
2025-11-24T14:17:53+00:00;22.1;
2025-11-24T14:23:00+00:00;22.1;
2025-11-24T14:23:01+00:00;37.8;
2025-11-24T14:25:02+00:00;37.8;
2025-11-24T14:25:03+00:00;50.9;
2025-11-24T14:27:55+00:00;51.4;
2025-11-24T14:30:07+00:00;51.9;
2025-11-24T14:31:56+00:00;52.4;
2025-11-24T14:33:39+00:00;52.9;
2025-11-24T14:35:36+00:00;53.4;
2025-11-24T14:38:00+00:00;28.1;
2025-11-24T14:38:21+00:00;27.1;
2025-11-24T14:39:27+00:00;27.6;
2025-11-24T14:46:20+00:00;28.1;
2025-11-24T14:49:58+00:00;28.6;
2025-11-24T14:53:41+00:00;29.1;
2025-11-24T14:59:01+00:00;29.6;
2025-11-24T15:03:37+00:00;30.1;
2025-11-24T15:07:41+00:00;30.6;
2025-11-24T15:12:42+00:00;31.1;
2025-11-24T15:19:27+00:00;31.6;
2025-11-24T15:22:55+00:00;31.1;
2025-11-24T15:37:23+00:00;31.6;
2025-11-24T15:55:07+00:00;32.1;
2025-11-24T16:11:42+00:00;31.6;
2025-11-24T16:18:18+00:00;27.6;
2025-11-24T16:19:51+00:00;25.6;
2025-11-24T16:21:08+00:00;25.1;
2025-11-24T16:22:49+00:00;30.1;
2025-11-24T16:24:39+00:00;30.1;
2025-11-24T16:53:57+00:00;26.6;
2025-11-24T16:56:48+00:00;24.1;
2025-11-24T16:59:11+00:00;24.1;
2025-11-24T16:59:12+00:00;35.9;
2025-11-24T17:01:53+00:00;30.9;
2025-11-24T17:04:13+00:00;31.9;
2025-11-24T17:09:16+00:00;34.4;
2025-11-24T17:09:24+00:00;33.9;
2025-11-24T17:16:09+00:00;33.4;
2025-11-24T17:17:12+00:00;32.9;
2025-11-24T17:21:16+00:00;33.4;
2025-11-24T17:24:12+00:00;32.9;
2025-11-24T17:24:30+00:00;32.4;
2025-11-24T17:26:21+00:00;30.9;
2025-11-24T17:29:18+00:00;28.4;
2025-11-24T17:32:26+00:00;27.9;
2025-11-24T17:35:03+00:00;28.4;
2025-11-24T17:38:51+00:00;29.4;
2025-11-24T17:41:18+00:00;30.4;
2025-11-24T17:42:44+00:00;30.9;
2025-11-24T17:44:26+00:00;31.9;
2025-11-24T17:46:53+00:00;30.9;
2025-11-24T17:48:42+00:00;29.9;
2025-11-24T17:49:10+00:00;29.4;
2025-11-24T17:53:05+00:00;30.9;
2025-11-24T17:54:15+00:00;31.4;
2025-11-24T17:55:22+00:00;31.9;
2025-11-24T17:56:32+00:00;32.4;
2025-11-24T17:57:48+00:00;32.9;
2025-11-24T17:59:55+00:00;33.9;
2025-11-24T18:01:45+00:00;34.4;
2025-11-24T18:04:01+00:00;33.9;
2025-11-24T18:07:21+00:00;23.1;
2025-11-24T18:09:02+00:00;22.6;
2025-11-24T18:13:10+00:00;22.6;
2025-11-24T18:13:11+00:00;36.6;
2025-11-24T18:16:53+00:00;38.6;
2025-11-24T18:18:37+00:00;39.6;
2025-11-24T18:19:35+00:00;40.1;
2025-11-24T18:21:02+00:00;40.6;
2025-11-24T18:22:08+00:00;41.1;
2025-11-24T18:23:51+00:00;41.6;
2025-11-24T18:25:32+00:00;42.1;
2025-11-24T18:26:51+00:00;42.6;
2025-11-24T18:28:12+00:00;43.1;
2025-11-24T18:29:35+00:00;43.6;
2025-11-24T18:30:42+00:00;44.1;
2025-11-24T18:31:59+00:00;44.6;
2025-11-24T18:33:17+00:00;45.1;
2025-11-24T18:34:30+00:00;45.6;
2025-11-24T18:35:45+00:00;46.1;
2025-11-24T18:37:02+00:00;46.6;
2025-11-24T18:38:13+00:00;47.1;
2025-11-24T18:39:31+00:00;47.6;
2025-11-24T18:40:49+00:00;48.1;
2025-11-24T18:42:07+00:00;48.6;
2025-11-24T18:43:09+00:00;49.1;
2025-11-24T18:44:27+00:00;49.6;
2025-11-24T18:46:15+00:00;50.1;
2025-11-24T18:47:56+00:00;50.6;
2025-11-24T18:50:03+00:00;51.1;
2025-11-24T18:51:30+00:00;51.6;
2025-11-24T18:53:44+00:00;52.1;
2025-11-24T18:55:44+00:00;52.6;
2025-11-24T18:57:48+00:00;53.1;
2025-11-24T18:59:50+00:00;38.6;
2025-11-24T19:02:46+00:00;24.5;
2025-11-24T19:11:24+00:00;25.0;
2025-11-24T19:15:51+00:00;25.5;
2025-11-24T19:21:30+00:00;26.0;
2025-11-24T19:26:53+00:00;26.5;
2025-11-24T19:31:29+00:00;27.0;
2025-11-24T19:36:02+00:00;27.5;
2025-11-24T19:40:29+00:00;28.0;
2025-11-24T19:45:29+00:00;28.5;
2025-11-24T19:51:42+00:00;29.0;
2025-11-24T19:59:15+00:00;29.5;
2025-11-24T20:07:30+00:00;30.0;
2025-11-24T20:14:15+00:00;30.5;
2025-11-24T20:19:52+00:00;31.0;
2025-11-24T20:26:07+00:00;31.5;
2025-11-24T20:33:26+00:00;32.0;
2025-11-24T20:43:45+00:00;30.5;
2025-11-24T20:45:24+00:00;28.5;
2025-11-24T20:45:26+00:00;29.5;
2025-11-24T20:46:44+00:00;25.0;
2025-11-24T20:50:09+00:00;25.0;
2025-11-24T20:50:10+00:00;31.7;
2025-11-24T20:51:59+00:00;30.2;
2025-11-24T20:53:20+00:00;30.7;
2025-11-24T21:01:54+00:00;31.2;
2025-11-24T21:07:44+00:00;31.7;
2025-11-24T21:14:58+00:00;32.2;
2025-11-24T21:27:26+00:00;32.7;
2025-11-24T21:47:35+00:00;33.2;
2025-11-24T22:01:00+00:00;32.7;
2025-11-24T22:04:36+00:00;27.2;
2025-11-24T22:05:56+00:00;27.2;
2025-11-24T22:05:57+00:00;32.7;
2025-11-24T22:09:02+00:00;31.7;
2025-11-24T22:10:08+00:00;32.2;
2025-11-24T22:20:21+00:00;32.7;
2025-11-24T22:31:19+00:00;33.2;
2025-11-24T22:54:06+00:00;33.7;
2025-11-24T22:58:31+00:00;33.2;
2025-11-24T23:01:30+00:00;32.7;
2025-11-24T23:10:34+00:00;33.2;
2025-11-24T23:16:53+00:00;31.7;
2025-11-24T23:22:14+00:00;33.6;
2025-11-24T23:23:01+00:00;32.6;
2025-11-24T23:24:31+00:00;32.1;
2025-11-24T23:31:27+00:00;32.6;
2025-11-24T23:38:43+00:00;33.1;
2025-11-24T23:55:53+00:00;33.6;
2025-11-25T00:29:47+00:00;34.1;
2025-11-25T00:37:11+00:00;30.6;
2025-11-25T00:38:42+00:00;27.1;
2025-11-25T00:41:48+00:00;27.1;
2025-11-25T00:41:49+00:00;32.7;
2025-11-25T00:44:03+00:00;32.2;
2025-11-25T00:45:04+00:00;32.7;
2025-11-25T00:59:42+00:00;33.2;
2025-11-25T01:10:28+00:00;33.7;
2025-11-25T01:22:02+00:00;34.2;
2025-11-25T01:35:50+00:00;34.7;
2025-11-25T01:46:05+00:00;35.2;
2025-11-25T01:54:20+00:00;35.7;
2025-11-25T02:08:27+00:00;27.2;
2025-11-25T02:12:25+00:00;27.2;
2025-11-25T02:12:26+00:00;35.0;
2025-11-25T02:24:52+00:00;35.5;
2025-11-25T02:33:33+00:00;36.0;
2025-11-25T02:43:00+00:00;36.5;
2025-11-25T02:57:54+00:00;37.0;
2025-11-25T03:18:37+00:00;37.5;
2025-11-25T03:28:28+00:00;33.0;
2025-11-25T03:33:17+00:00;36.4;
2025-11-25T03:34:35+00:00;36.4;
2025-11-25T03:37:15+00:00;35.9;
2025-11-25T03:44:15+00:00;36.4;
2025-11-25T03:51:41+00:00;36.9;
2025-11-25T03:58:55+00:00;37.4;
2025-11-25T04:03:46+00:00;37.4;
2025-11-25T04:03:47+00:00;49.2;
2025-11-25T04:05:28+00:00;50.2;
2025-11-25T04:08:09+00:00;51.7;
2025-11-25T04:09:23+00:00;52.2;
2025-11-25T04:11:14+00:00;53.2;
2025-11-25T04:14:15+00:00;52.9;
2025-11-25T04:15:51+00:00;34.0;
2025-11-25T04:17:06+00:00;33.5;
2025-11-25T04:23:12+00:00;34.0;
2025-11-25T04:25:50+00:00;34.5;
2025-11-25T04:28:36+00:00;35.0;
2025-11-25T04:32:14+00:00;35.5;
2025-11-25T04:37:14+00:00;36.0;
2025-11-25T04:43:16+00:00;36.5;
2025-11-25T04:52:05+00:00;37.0;
2025-11-25T04:54:51+00:00;33.0;
2025-11-25T04:56:13+00:00;29.5;
2025-11-25T04:59:34+00:00;29.5;
2025-11-25T04:59:35+00:00;36.0;
2025-11-25T05:00:55+00:00;36.0;
2025-11-25T05:09:27+00:00;36.5;
2025-11-25T05:13:13+00:00;37.0;
2025-11-25T05:24:36+00:00;37.5;
2025-11-25T06:09:40+00:00;33.5;
2025-11-25T06:11:32+00:00;29.0;
2025-11-25T06:14:44+00:00;29.0;
2025-11-25T06:14:45+00:00;35.6;
2025-11-25T06:16:15+00:00;35.6;
Tue Nov 25 2025 07:19:54 GMT+0100 (Central European Standard Time);35.6;
